date,PM2.5,Temperature,Humidity,WindSpeed,Precipitation,CO,NO2,SO2,O3,Lag_PM2.5,month,season_Spring,season_Summer,season_Autumn,season_Winter
2022-09-17,39.0643,24.01,64.43,1.29,0.0,0.645,26.0905,2.5583,104.6143,25.0262,9,0,0,1,0
2022-09-18,10.4988,21.99,41.74,1.85,0.0,0.305,18.9893,2.656,64.4607,39.0643,9,0,0,1,0
2022-09-19,6.0583,19.36,38.66,2.22,0.0,0.235,19.6417,2.5929,50.431,10.4988,9,0,0,1,0
2022-09-20,5.8095,17.22,42.82,1.57,0.0,0.1777,15.1833,2.4595,54.9417,6.0583,9,0,0,1,0
2022-09-21,18.1452,18.05,51.57,2.1,0.05,0.3545,27.7238,2.4774,70.1298,5.8095,9,0,0,1,0
2022-09-22,18.1821,17.57,44.38,4.43,0.93,0.3104,15.5143,2.5369,61.7131,18.1452,9,0,0,1,0
2022-09-23,4.0202,15.85,33.78,3.75,0.09,0.1994,11.3631,2.4607,49.9571,18.1821,9,0,0,1,0
2022-09-24,14.2821,16.7,38.29,2.4,0.0,0.3098,30.2524,2.2964,50.2155,4.0202,9,0,0,1,0
2022-09-25,44.4524,18.26,49.47,1.44,0.0,0.5485,39.681,3.3405,81.0095,14.2821,9,0,0,1,0
2022-09-26,56.6083,19.41,55.62,1.75,0.0,0.7568,42.0155,3.7345,116.144,44.4524,9,0,0,1,0
2022-09-27,57.6429,20.56,56.5,1.82,0.0,0.7413,40.4631,3.1952,121.6655,56.6083,9,0,0,1,0
2022-09-28,56.8333,20.98,59.87,1.4,0.73,0.755,39.6952,3.1333,115.5321,57.6429,9,0,0,1,0
2022-09-29,62.231,21.34,60.71,1.62,0.01,0.8026,38.8286,3.0893,125.0988,56.8333,9,0,0,1,0
2022-09-30,78.6357,21.72,63.3,1.42,0.0,0.892,42.9095,2.9369,118.2155,62.231,9,0,0,1,0
2022-10-01,68.3417,20.44,78.97,1.39,4.12,0.7755,36.4381,2.4631,73.5012,78.6357,10,0,0,1,0
2022-10-02,15.5619,18.69,86.02,1.35,2.1,0.4343,11.8214,2.6429,54.4333,68.3417,10,0,0,1,0
2022-10-03,6.5155,13.56,67.83,3.3,5.43,0.3052,10.7905,2.7321,37.8524,15.5619,10,0,0,1,0
2022-10-04,3.131,9.45,34.59,2.33,0.0,0.1839,11.2214,2.7452,46.3,6.5155,10,0,0,1,0
2022-10-05,8.8476,8.53,43.12,1.68,0.0,0.2161,20.3071,2.6714,33.8905,3.131,10,0,0,1,0
2022-10-06,19.8976,10.28,52.35,1.55,0.0,0.3001,25.2536,2.1286,34.7893,8.8476,10,0,0,1,0
2022-10-07,49.3667,11.84,51.24,1.92,0.0,0.5793,31.375,2.4619,42.9298,19.8976,10,0,0,1,0
2022-10-08,65.2083,11.49,73.07,1.55,0.16,0.5792,29.719,2.3786,16.1,49.3667,10,0,0,1,0
2022-10-09,2.5131,9.08,37.31,6.35,0.03,0.1605,6.4405,2.6238,58.8702,65.2083,10,0,0,1,0
2022-10-10,3.7274,8.89,38.0,2.96,0.0,0.1952,12.2619,2.5036,51.3321,2.5131,10,0,0,1,0
2022-10-11,13.6036,10.11,42.4,1.93,0.0,0.3213,28.3964,2.2024,33.1679,3.7274,10,0,0,1,0
2022-10-12,48.0131,10.99,59.89,1.59,0.0,0.5715,46.6607,2.9845,31.7619,13.6036,10,0,0,1,0
2022-10-13,84.8024,12.59,65.5,1.12,0.0,0.6854,51.1512,2.7036,40.3262,48.0131,10,0,0,1,0
2022-10-14,107.0679,14.71,60.67,0.97,0.0,0.7298,50.269,2.8202,56.6774,84.8024,10,0,0,1,0
2022-10-15,111.3845,16.33,49.78,1.92,0.0,0.7851,40.7179,2.65,79.9405,107.0679,10,0,0,1,0
2022-10-16,9.2702,11.63,29.89,3.36,0.0,0.202,9.5321,2.5845,52.856,111.3845,10,0,0,1,0
2022-10-17,2.8333,7.99,34.35,2.95,0.0,0.2027,11.3917,2.4738,40.375,9.2702,10,0,0,1,0
2022-10-18,9.6643,8.66,39.04,1.99,0.0,0.2887,25.2917,2.2964,30.9429,2.8333,10,0,0,1,0
2022-10-19,36.9048,11.2,47.89,2.36,0.0,0.5195,40.4738,2.9738,32.7131,9.6643,10,0,0,1,0
2022-10-20,75.9369,10.82,71.5,1.11,0.0,0.6336,51.4107,2.706,30.0131,36.9048,10,0,0,1,0
2022-10-21,95.6036,14.2,65.21,1.44,0.0,0.7275,43.8405,2.8167,58.294,75.9369,10,0,0,1,0
2022-10-22,22.6298,12.2,42.26,2.67,0.0,0.3108,18.7179,2.4202,52.5857,95.6036,10,0,0,1,0
2022-10-23,7.5024,11.8,37.61,2.1,0.0,0.2856,24.8179,2.2595,33.719,22.6298,10,0,0,1,0
2022-10-24,27.6298,10.09,53.65,1.62,0.0,0.5504,35.1786,2.8893,35.7548,7.5024,10,0,0,1,0
2022-10-25,85.7679,11.06,73.09,1.5,0.0,0.8488,46.969,4.3905,48.3679,27.6298,10,0,0,1,0
2022-10-26,103.4179,11.43,72.87,1.67,0.0,0.7182,41.3607,2.3952,38.9762,85.7679,10,0,0,1,0
2022-10-27,7.7607,7.74,47.3,1.86,0.0,0.277,19.8298,2.306,30.5167,103.4179,10,0,0,1,0
2022-10-28,20.2345,9.01,70.34,1.31,0.0,0.4861,37.0738,2.6131,9.7107,7.7607,10,0,0,1,0
2022-10-29,36.781,9.26,83.31,1.96,0.23,0.6313,39.444,2.3262,13.35,20.2345,10,0,0,1,0
2022-10-30,65.7762,10.26,81.89,1.3,0.49,0.5865,39.6619,2.1917,17.8869,36.781,10,0,0,1,0
2022-10-31,24.4417,8.74,43.41,2.92,0.0,0.3156,20.5524,2.2298,40.1286,65.7762,10,0,0,1,0
2022-11-01,9.1619,5.76,44.69,1.88,0.38,0.286,27.456,2.3119,30.3833,24.4417,11,0,0,1,0
2022-11-02,32.2714,8.24,66.12,1.63,1.34,0.4727,36.1119,2.6548,25.5845,9.1619,11,0,0,1,0
2022-11-03,24.3,6.11,57.98,1.18,0.47,0.4876,22.2167,2.8679,32.9643,32.2714,11,0,0,1,0
2022-11-04,12.3417,5.03,40.23,2.16,0.71,0.2652,20.7179,2.456,40.6321,24.3,11,0,0,1,0
2022-11-05,29.844,6.56,43.34,1.82,0.0,0.3917,36.6964,2.3964,27.2083,12.3417,11,0,0,1,0
2022-11-06,81.4845,6.64,76.24,0.92,0.01,0.688,52.9238,2.8012,17.6881,29.844,11,0,0,1,0
2022-11-07,31.325,8.56,33.18,2.93,0.0,0.4185,32.0012,2.2393,33.1071,81.4845,11,0,0,1,0
2022-11-08,34.8988,7.36,45.92,1.92,0.0,0.4692,43.4964,2.4048,24.5179,31.325,11,0,0,1,0
2022-11-09,76.8393,8.8,73.81,1.18,0.51,0.6727,54.3036,2.4595,20.5452,34.8988,11,0,0,1,0
