date,PM2.5,Temperature,Humidity,WindSpeed,Precipitation,CO,NO2,SO2,O3,Lag_PM2.5,month,season_Spring,season_Summer,season_Autumn,season_Winter,Z_PM2_5,Z_Temperature,Z_Humidity,Z_WindSpeed,Z_Precipitation,Z_CO,Z_NO2,Z_SO2,Z_O3,Z_Lag_PM2_5
2024-09-26,18.84642857142857,17.72,80.39,1.36,0.07,0.5753571428571429,25.70357142857143,2.9904761904761905,39.80714285714286,25.330952380952382,9,0,0,1,0,-0.4378625864323645,0.4588258138193588,1.2731039494816143,-0.8503794112921078,-0.2766568449266113,0.43716495898790037,0.20629966642773384,0.06762918529668842,-0.6775840785933243,-0.18599447138994063
2024-09-27,25.58214285714286,17.66,82.86,1.62,0.0,0.5502380952380951,25.454761904761902,2.672619047619048,42.15714285714287,18.84642857142857,9,0,0,1,0,-0.17586445922703964,0.4537797515051332,1.4153369235670574,-0.5959870310957089,-0.2857176044983565,0.3127831249368421,0.18627396149462977,-0.3298252793651409,-0.6060740575589726,-0.43816546220996694
2024-09-28,24.03571428571428,18.72,89.61,1.45,0.0,0.586547619047619,19.48095238095238,2.2726190476190475,30.892857142857142,25.58214285714286,9,0,0,1,0,-0.23601567294915315,0.5429268523897864,1.804030273800556,-0.7623205104548929,-0.2857176044983565,0.49257677131396327,-0.2945345904398912,-0.8299926955687921,-0.9488439760123827,-0.1762261440422216
2024-09-29,44.04761904761904,18.57,88.14,2.55,10.16,0.7928571428571429,19.68571428571429,2.895238095238095,55.28571428571429,24.03571428571428,9,0,0,1,0,0.5423845600521738,0.5303116966042224,1.7193814997497054,0.3139549442221788,1.0293869276292325,1.5141583751551118,-0.27805410599733654,-0.051458294751799985,-0.20657430478955818,-0.23636385600756316
2024-09-30,1.971428571428572,13.64,69.61,2.7,10.02,0.350595238095238,12.653571428571428,2.825,32.12261904761905,44.04761904761904,9,0,0,1,0,-1.094247077972746,0.115693576452014,0.6523462731087085,0.46071977895087074,1.011265408485742,-0.6757871864547357,-0.8440437664750604,-0.13928531128755978,-0.9114225718946093,0.5418616544908103
2024-10-01,2.520238095238095,9.79,63.42,3.65,0.08,0.2283333333333333,9.440476190476192,2.751190476190476,46.71428571428572,1.971428571428572,10,0,0,1,0,-1.07290011144011,-0.20809542204413267,0.2959000748945818,1.3902303988992508,-0.27536245070207627,-1.2811907104852367,-1.1026532287451427,-0.2315781083251384,-0.4674011292309605,-1.0944026193375367
2024-10-02,6.126190476190476,11.03,59.31,1.83,0.0,0.26,15.88690476190476,2.5702380952380954,36.50714285714286,2.520238095238095,10,0,0,1,0,-0.932639890990317,-0.10381013421680234,0.05922901275240716,-0.3905162624755407,-0.2857176044983565,-1.1243870713497806,-0.5838054191147259,-0.45784432041726586,-0.7780024060032641,-1.07306044442143
2024-10-03,13.847619047619048,12.59,64.48,1.9,0.0,0.349047619047619,22.85357142857143,2.458333333333333,43.02261904761905,6.126190476190476,10,0,0,1,0,-0.6323005744378715,0.027387485953064877,0.35693932693124986,-0.32202600626881817,-0.2857176044983565,-0.6834505222019571,-0.023085680987818758,-0.5977721094742402,-0.5797377934799591,-0.9328317072828475
2024-10-04,41.4,12.29,74.14,1.36,0.0,0.5197619047619046,30.700000000000006,3.219047619047619,61.32738095238094,13.847619047619048,10,0,0,1,0,0.43940049591208186,0.0021571743819365128,0.9132026992654121,-0.8503794112921078,-0.2857176044983565,0.16187435945309517,0.608442650180063,0.3534391374130603,-0.02272761950620907,-0.6325598059686028
2024-10-05,57.58928571428572,14.54,75.85,1.22,0.0,0.5933333333333334,33.32380952380952,2.8583333333333334,69.73214285714288,41.4,10,0,0,1,0,1.0691128557327276,0.19138451116539879,1.0116716813245648,-0.9873599237055534,-0.2857176044983565,0.5261775511287043,0.8196228112927936,-0.09760469327058903,0.2330275722377225,0.4389007065224356
2024-10-06,60.885714285714286,15.0,85.13,1.06,1.07,0.6477380952380952,33.464285714285715,2.6130952380952386,44.40238095238095,57.58928571428572,10,0,0,1,0,1.1973335722812506,0.2300709889077956,1.546053057645582,-1.1439090807494912,-0.14721742247310846,0.7955732770117996,0.8309291901545461,-0.4042549543954458,-0.5377519199344613,1.0684717188524409
2024-10-07,12.45952380952381,13.43,64.31,1.7,0.0,0.3497619047619047,17.67738095238095,2.505952380952381,31.7154761904762,60.885714285714286,10,0,0,1,0,-0.686293118856643,0.09803235835222411,0.34715001292536907,-0.5177124525737402,-0.2857176044983565,-0.6799135980109318,-0.43969699701239034,-0.5382283694499957,-0.9238118460555756,1.1966636545199003
2024-10-08,12.01190476190476,13.76,65.18,1.74,0.0,0.3482142857142857,25.151190476190475,2.509523809523809,38.77857142857143,12.45952380952381,10,0,0,1,0,-0.7037040937292486,0.12578570108046525,0.39724826695546467,-0.4785751633127558,-0.2857176044983565,-0.6875769337581531,0.16184068514084293,-0.533762588948178,-0.7088832975262924,-0.686540231027562
2024-10-09,56.23690476190476,13.93,78.8,0.99,0.34,0.608095238095238,43.25238095238095,2.535714285714286,27.855952380952377,12.01190476190476,10,0,0,1,0,1.0165094848410254,0.14008287763743796,1.1815450714266122,-1.2123993369562138,-0.24170820086416553,0.5992739844098939,1.6187346732166492,-0.5010135319348427,-1.0412563689498853,-0.703947297770417
2024-10-10,5.797619047619048,11.64,57.67,2.19,0.0,0.251547619047619,17.663095238095238,2.407142857142857,48.18095238095238,56.23690476190476,10,0,0,1,0,-0.9454202874393572,-0.05250850068884136,-0.03520907530432437,-0.03828065912668098,-0.2857176044983565,-1.1662406742769138,-0.4408467982525684,-0.6617816300003024,-0.4227707614932098,1.0158801555016879
2024-10-11,24.507142857142853,14.53,62.78,1.29,0.0,0.4302380952380952,37.613095238095234,2.3000000000000003,29.390476190476186,5.797619047619048,10,0,0,1,0,-0.21767858239183457,0.19054350077969454,0.25904618687244263,-0.9188696674988306,-0.2857176044983565,-0.2814201391554118,1.1648506336563007,-0.7957550450548512,-0.9945611221853065,-0.9456092349983473
2024-10-12,54.871428571428574,13.99,73.4,1.25,0.0,0.6878571428571428,37.14642857142858,3.4928571428571438,53.08095238095238,24.507142857142853,10,0,0,1,0,0.9633967503227315,0.14512893995166365,0.870590391239814,-0.9580069567598151,-0.2857176044983565,0.9942305190743886,1.12729045981048,0.6958156425524651,-0.27366476018754127,-0.21803088145923738
2024-10-13,85.48333333333333,14.03,91.5,0.99,0.36,1.2546428571428572,28.777380952380952,2.721428571428572,46.10952380952381,54.871428571428574,10,0,0,1,0,2.1541036861583134,0.1484929814944807,1.9128644118659357,-1.2123993369562138,-0.2391194124150955,3.8007798646529842,0.45369856660607844,-0.2687929458402903,-0.4858039107332153,0.9627793428579263
2024-10-14,87.60238095238094,16.17,80.77,1.33,0.01,1.192380952380952,29.00119047619048,2.6500000000000004,42.68452380952382,85.48333333333333,10,0,0,1,0,2.2365279820977753,0.32846920403519614,1.2949859454947592,-0.8797323782378461,-0.2844232102738215,3.4924779726686084,0.47171211936887075,-0.35810855587665674,-0.5900259626662587,2.1532190083519884
2024-10-15,25.370238095238097,13.03,66.94,2.39,0.0,0.4522619047619047,20.870238095238093,2.6630952380952384,43.12738095238095,87.60238095238094,10,0,0,1,0,-0.1841068888209859,0.06439194292405301,0.49859645901634675,0.15740578717824136,-0.2857176044983565,-0.17236497659879774,-0.1827164198325605,-0.34173402736998965,-0.5765499100701198,2.2356248030389065
2024-10-16,18.70833333333334,11.8,86.89,1.41,0.0,0.5544047619047618,27.810714285714287,2.979761904761905,33.273809523809526,25.370238095238097,10,0,0,1,0,-0.44323405740370003,-0.039052334517572916,1.647401249706465,-0.8014577997158774,-0.2857176044983565,0.33341518271782367,0.37589534935401975,0.05423184379123353,-0.8763920803342153,-0.18446672351091348
2024-10-17,32.16428571428571,13.14,93.89,0.86,3.6,0.6408333333333334,32.78214285714285,2.6761904761904765,18.147619047619045,18.70833333333334,10,0,0,1,0,0.08016022181188569,0.07364305716680015,2.0504906499486117,-1.3395955270544133,0.18026431633425374,0.7613830098318884,0.776026180936036,-0.3253594988633226,-1.3366789735776126,-0.4435357274816985
2024-10-18,24.11309523809524,11.86,85.79,2.14,3.69,0.56,18.602380952380955,2.6892857142857145,32.171428571428564,32.16428571428571,10,0,0,1,0,-0.23300579697383544,-0.034006272203347364,1.5840586296684136,-0.08720227070291135,0.191913864355069,0.3611210888808559,-0.3652473667108509,-0.3089849703566555,-0.909937308033207,0.07974106878023554
2024-10-19,2.6369047619047623,4.7,49.72,2.24,0.0,0.2158333333333333,12.711904761904762,2.5523809523809526,44.025000000000006,24.11309523809524,10,0,0,1,0,-1.068362144585016,-0.6361697083676094,-0.49300346557933394,0.010640952449549816,-0.2857176044983565,-1.3430868838281802,-0.8393487447443327,-0.48017322292635733,-0.5492355453994506,-0.2333546556397821
2024-10-20,13.604761904761906,3.71,55.26,1.67,0.17,0.3986904761904762,26.39761904761905,3.046428571428572,22.14761904761904,2.6369047619047623,10,0,0,1,0,-0.6417469544219446,-0.719429736552333,-0.17398699738769222,-0.5470654195194786,-0.263712902681261,-0.43763429092569667,0.2621608433463919,0.13759307982517613,-1.2149597888382915,-1.0685234961746222
2024-10-21,32.83333333333333,7.26,77.98,0.97,0.0,0.4583333333333333,29.54642857142857,2.4130952380952384,17.883333333333333,13.604761904761906,10,0,0,1,0,0.10618407255232262,-0.42087104962731464,1.134326027398247,-1.2319679815867062,-0.2857176044983565,-0.14230112097508227,0.5155962000356721,-0.6543386624972714,-1.344721133997889,-0.6420040655844071
2024-10-22,11.684523809523808,8.67,62.35,2.32,0.95,0.2991666666666666,20.472619047619048,2.492857142857143,38.22261904761905,32.83333333333333,10,0,0,1,0,-0.716438184394053,-0.3022885852430116,0.23428498085756794,0.08891553097151832,-0.1627501531675288,-0.9304457282085591,-0.2147192210175205,-0.5546028979566627,-0.7258008151671446,0.10575907811397052
